Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
1966,Chhattisgarh,351.0449799196787,993.25,485.1666666666667,255.33333333333334,513.37,69.56666666666666
1967,Chhattisgarh,90.38333333333333,1411.0166666666667,487.0,393.1666666666667,790.605,65.85000000000001
1968,Chhattisgarh,91.25,1212.2333333333333,494.0333333333333,371.3333333333333,730.4833333333332,79.75
1969,Chhattisgarh,89.73333333333333,1139.9666666666667,497.18333333333334,383.26666666666665,754.77,81.38333333333334
1970,Chhattisgarh,82.95,1503.694099756691,502.3666666666666,457.8833333333334,862.4533333333334,74.10000000000001
1971,Chhattisgarh,85.88333333333333,1564.1499999999999,508.2166666666667,422.6666666666667,819.3833333333333,79.89999999999999
1972,Chhattisgarh,103.76666666666667,1186.5,510.45000000000005,375.3333333333333,694.94,78.86666666666666
1973,Chhattisgarh,126.2,1482.8500000000001,517.2333333333332,423.15000000000003,816.2950000000001,74.25
1974,Chhattisgarh,199.0,905.4,515.1,298.98333333333335,579.2533333333333,65.8
1975,Chhattisgarh,164.28333333333333,1478.4166666666667,520.3333333333334,454.6666666666667,862.5633333333334,72.58333333333333
1976,Chhattisgarh,150.18333333333334,1125.8833333333334,520.7666666666668,327.90000000000003,606.355,89.81666666666666
1977,Chhattisgarh,146.51666666666665,1394.0833333333333,527.7666666666667,535.9833333333333,990.6349999999999,94.61666666666667
1978,Chhattisgarh,139.25,1316.3,536.75,408.3,752.16,102.5
1979,Chhattisgarh,271.87054886211513,857.1166666666667,536.7166666666667,250.29999999999998,447.635,102.13333333333334
1980,Chhattisgarh,183.28333333333333,1476.0666666666666,549.9833333333332,474.7166666666667,855.4333333333334,103.66666666666667
1981,Chhattisgarh,269.7872155287818,1142.55,549.4833333333333,469.0333333333333,832.6583333333333,106.33333333333333
1982,Chhattisgarh,240.91666666666666,1122.2833333333333,548.1666666666666,400.63333333333327,729.1183333333333,116.21666666666668
1983,Chhattisgarh,266.71666666666664,1264.9166666666667,553.9666666666667,558.7666666666667,962.3299999999999,112.69999999999999
1984,Chhattisgarh,247.03333333333333,1218.1000000000001,555.4666666666667,490.2833333333333,842.5066666666667,127.51666666666667
1985,Chhattisgarh,254.13333333333333,1230.3,564.35,728.5999999999999,1216.1200000000001,117.58333333333333
1986,Chhattisgarh,250.58333333333334,1340.2166666666667,575.5,548.3333333333334,916.645,140.68333333333334
1987,Chhattisgarh,277.28333333333336,1121.8999999999999,570.3333333333334,531.6666666666666,885.9633333333335,136.29999999999998
1988,Chhattisgarh,347.40000000000003,1097.4166666666667,576.8833333333333,589.7,1003.94,133.86666666666665
1989,Chhattisgarh,337.71666666666664,1234.2274330900243,585.5166666666667,600.4499999999999,993.2783333333333,139.03333333333333
1990,Chhattisgarh,370.0,1486.1166666666668,593.7333333333333,717.2333333333332,1177.86,138.77666666666667
1991,Chhattisgarh,453.73721552878175,1095.9166666666667,595.5,711.7333333333332,1148.9683333333335,156.06
1992,Chhattisgarh,493.23721552878175,1065.2,597.9833333333333,682.9333333333334,1074.7433333333333,163.26500000000001
1993,Chhattisgarh,540.7372155287818,1089.5833333333333,608.9833333333333,769.5500000000001,1202.3633333333332,162.51166666666666
1994,Chhattisgarh,573.8333333333334,1715.8333333333333,622.9166666666666,833.9499999999999,1306.5166666666667,168.50666666666666
1995,Chhattisgarh,771.3333333333334,1206.0666666666666,620.2666666666667,771.2166666666667,1183.34,172.15333333333334
1996,Chhattisgarh,879.6666666666666,1107.5833333333333,615.7666666666667,815.3166666666666,1283.2316666666666,173.12333333333333
1997,Chhattisgarh,940.0,1345.8666666666666,628.3833333333333,549.85,849.3183333333333,174.915
1998,Chhattisgarh,631.4232931726907,1188.6666666666667,671.8166666666667,573.3666666666667,858.5066666666667,171.66166666666666
1999,Chhattisgarh,631.4232931726907,1302.0166666666667,650.4916666666667,842.5450000000001,1257.3583333333333,189.34833333333333
2002,Chhattisgarh,631.4232931726907,1230.9645985401462,629.61,439.145,690.6016666666666,162.74666666666667
2004,Chhattisgarh,868.0,1145.8333333333333,640.645,764.4683333333332,1160.2133333333334,184.85500000000002
2005,Chhattisgarh,883.1666666666666,1285.6000000000001,640.645,764.4683333333332,1160.2133333333334,193.085
2006,Chhattisgarh,971.0,1195.0,627.2733333333333,884.56,1359.0716666666667,209.00333333333333
2007,Chhattisgarh,1026.0,1246.0833333333333,650.4833333333333,939.1633333333333,1403.995,212.42499999999998
2008,Chhattisgarh,1238.737215528782,1183.0166666666667,654.805,784.585,1192.5466666666669,212.505
2009,Chhattisgarh,1395.9038821954484,832.9666666666667,639.6,724.5516666666666,1091.8333333333333,201.49666666666667
2010,Chhattisgarh,1337.4038821954484,1073.4833333333333,637.8683333333333,1059.4366666666667,1600.635,218.90333333333334
2011,Chhattisgarh,1377.307764390897,1287.9833333333333,656.6383333333333,1050.1366666666665,1564.3466666666666,224.60333333333335
2012,Chhattisgarh,1568.237215528782,1262.9333333333332,663.6966666666666,1308.0683333333334,1913.1066666666666,234.13833333333332
2013,Chhattisgarh,1598.807764390897,1320.9833333333333,664.625,1183.7916666666667,1758.0933333333332,234.46666666666667
2014,Chhattisgarh,1814.2846586345381,1250.9166666666667,672.6216666666667,1329.6266666666668,1939.2250000000001,240.3366666666667
2015,Chhattisgarh,2425.7372155287817,1117.8833333333334,659.9583333333334,859.055,1263.07,232.04666666666665
