Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
1966,Madhya Pradesh,794.638674145844,753.8795931633689,34.34054054054054,10.113513513513514,392.85621621621624,4.286486486486487
1967,Madhya Pradesh,546.4850688424273,1142.375,33.78108108108108,22.416216216216217,641.9956756756757,4.308108108108108
1968,Madhya Pradesh,583.3800101988782,887.1405405405404,35.37027027027027,18.07027027027027,517.484054054054,4.954054054054055
1969,Madhya Pradesh,541.0147985721571,1173.04,36.25135135135135,24.8972972972973,589.3756756756757,5.054054054054054
1970,Madhya Pradesh,540.6769607343192,1175.3676470588234,36.17297297297298,25.55135135135135,649.0018918918919,4.727027027027027
1971,Madhya Pradesh,539.9120958694544,1333.8514285714286,39.06216216216216,31.3972972972973,731.2494594594594,5.04054054054054
1972,Madhya Pradesh,547.9175012748598,897.9742857142857,39.28378378378378,24.024324324324322,629.2318918918918,5.010810810810811
1973,Madhya Pradesh,561.3472310045895,1335.3891891891892,38.01081081081081,27.66756756756757,735.7024324324325,4.281081081081081
1974,Madhya Pradesh,593.8580418154004,910.3675675675676,37.86486486486486,16.67297297297297,483.3545945945946,4.789189189189189
1975,Madhya Pradesh,567.360744518103,1197.681081081081,38.62162162162162,29.845945945945946,732.6462162162162,4.848648648648648
1976,Madhya Pradesh,563.0877715451301,1058.081081081081,39.85405405405405,23.905405405405407,619.5778378378378,5.167567567567568
1977,Madhya Pradesh,567.0661499235084,1159.237837837838,41.41621621621622,32.55135135135136,712.9027027027028,5.3
1978,Madhya Pradesh,386.7103620601734,1143.6945945945945,42.432432432432435,28.14324324324324,631.6083783783783,5.532432432432432
1979,Madhya Pradesh,398.78586435492093,762.6864864864865,41.04324324324324,9.483783783783784,255.26594594594596,5.127027027027027
1980,Madhya Pradesh,475.4326772055074,1071.8324324324326,41.32702702702702,32.27567567567568,663.6864864864865,5.302702702702702
1981,Madhya Pradesh,379.2965017848037,928.0594594594594,40.92162162162162,27.478378378378377,572.1905405405405,5.07027027027027
1982,Madhya Pradesh,454.9159408465069,1113.3918918918919,39.445945945945944,26.72432432432432,684.1543243243243,5.094594594594595
1983,Madhya Pradesh,352.3228352881183,1143.1819110206097,41.3054054054054,34.57297297297298,835.3321621621621,5.154054054054054
1984,Madhya Pradesh,362.9174298827129,972.2189189189189,39.70810810810811,19.548648648648648,587.8778378378378,5.178378378378378
1985,Madhya Pradesh,369.62553799082104,999.499063618413,41.59189189189189,37.25675675675676,885.1232432432432,5.264864864864865
1986,Madhya Pradesh,402.5390515043345,976.4486486486486,41.137837837837836,26.22972972972973,661.9924324324325,5.651351351351352
1987,Madhya Pradesh,407.5174298827129,903.7135135135136,33.983783783783785,24.37837837837838,710.5597297297297,4.3108108108108105
1988,Madhya Pradesh,442.525537990821,993.5486486486487,41.972972972972975,35.18378378378378,805.0124324324324,5.418918918918919
1989,Madhya Pradesh,537.7537786843448,810.667248241392,40.1,27.835135135135136,702.9913513513513,5.013513513513513
1990,Madhya Pradesh,495.76372259051504,1282.0162162162162,40.98108108108108,37.6945945945946,931.9564864864865,170.75789522399108
1991,Madhya Pradesh,570.1856909739928,851.2324324324323,41.056756756756755,25.354054054054053,790.7051351351352,171.11978711588299
1992,Madhya Pradesh,617.0130647628761,862.3891891891891,41.43783783783784,30.95405405405405,773.2329729729729,171.4743817104776
1993,Madhya Pradesh,660.8831616522183,1059.4783783783782,41.26756756756757,35.29189189189189,826.3559459459459,171.4133006293965
1994,Madhya Pradesh,714.3373890872004,1308.345945945946,42.5,38.35945945945946,852.0378378378379,171.6078952239911
1995,Madhya Pradesh,875.6338194798573,933.4648648648648,42.77837837837838,31.67027027027027,633.3037837837838,171.72167900777487
1996,Madhya Pradesh,939.5945945945946,1202.7027027027027,42.0945945945946,34.32432432432432,898.3013513513514,171.74113846723435
1997,Madhya Pradesh,927.1351351351351,1168.0702702702702,43.7027027027027,32.137837837837836,781.5156756756758,144.24396674071332
1998,Madhya Pradesh,814.8064150943396,960.1972972972974,40.270270270270274,35.372972972972974,883.6981081081082,116.85760582500309
1999,Madhya Pradesh,814.8064150943396,1197.9756756756756,45.96756756756756,46.21621621621622,979.2005405405405,117.3119301493274
2000,Madhya Pradesh,814.8064150943396,721.1675675675676,45.88648648648648,26.35675675675676,566.6183783783785,89.79962328767124
2001,Madhya Pradesh,814.8064150943396,941.1162162162163,47.73513513513514,45.56216216216216,796.1856756756756,90.07394761199556
2002,Madhya Pradesh,814.8064150943396,809.5594594594595,45.16486486486486,27.700000000000003,567.9405405405405,116.74517339257063
2003,Madhya Pradesh,814.8064150943396,1172.0351351351353,46.178378378378376,47.11351351351352,962.2508108108108,88.78800166604961
2004,Madhya Pradesh,1065.2824681285058,889.8162162162162,45.285405405405406,35.20567567567567,789.9332432432432,60.823532642231264
2005,Madhya Pradesh,1121.8334727180008,1012.1405405405404,45.95864864864865,45.607837837837835,851.5283783783783,61.62515426385289
2006,Madhya Pradesh,1110.2449770525243,1072.3648648648648,45.244594594594595,37.5472972972973,811.1835135135135,61.82785696655559
2007,Madhya Pradesh,1202.0932789393166,872.6810810810811,44.18648648648649,23.636756756756757,542.5151351351352,62.15623534493396
2008,Madhya Pradesh,1472.9904028556857,857.2027027027027,46.12432432432432,28.025135135135137,568.51,35.88473929408861
2009,Madhya Pradesh,1342.5483732789394,781.1972972972973,43.056756756756755,36.637837837837836,861.5708108108108,35.39636091571023
2012,Madhya Pradesh,1245.8953595104538,1049.8432432432433,48.410000000000004,80.30108108108108,1430.763243243243,40.2966311859805
2013,Madhya Pradesh,1516.042993710692,1468.9378378378378,50.8527027027027,89.77648648648649,1397.2475675675676,15.04972972972973
2014,Madhya Pradesh,2489.8917711503345,872.2837837837837,55.5945945945946,95.20702702702702,1362.055945945946,19.03162162162162
2015,Madhya Pradesh,2773.6074716981134,1015.5864864864864,54.75675675675676,92.23405405405406,1343.5175675675675,19.486216216216217
