,Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
0,1966,1,794.638674145844,753.8795931633689,34.34054054054054,10.113513513513514,392.85621621621624,4.286486486486487
48,1966,0,351.0449799196787,993.25,485.1666666666667,255.33333333333337,513.37,69.56666666666666
95,1966,2,355.5758072559531,382.7217391304348,2.9923076923076923,0.8615384615384615,224.67961538461535,0.7153846153846154
96,1967,2,411.3199351701783,597.4608695652174,3.6692307692307695,3.657692307692307,368.26,1.0846153846153843
1,1967,1,546.4850688424273,1142.375,33.78108108108108,22.416216216216217,641.9956756756757,4.308108108108108
49,1967,0,90.38333333333333,1411.0166666666669,487.0,393.1666666666667,790.605,65.85000000000001
2,1968,1,583.3800101988782,887.1405405405404,35.37027027027027,18.07027027027027,517.484054054054,4.954054054054055
97,1968,2,358.4382558284503,380.1565217391304,4.973076923076923,2.1961538461538463,264.1826923076923,1.526923076923077
50,1968,0,91.25,1212.2333333333331,494.0333333333333,371.3333333333333,730.4833333333332,79.75
98,1969,2,332.43395461912485,463.508695652174,4.584615384615384,3.8115384615384618,341.7626923076923,1.5653846153846156
51,1969,0,89.73333333333333,1139.9666666666667,497.18333333333334,383.26666666666665,754.77,81.38333333333334
3,1969,1,541.0147985721571,1173.04,36.25135135135135,24.8972972972973,589.3756756756757,5.054054054054054
52,1970,0,82.95,1503.694099756691,502.3666666666666,457.8833333333334,862.4533333333334,74.10000000000001
99,1970,2,350.9190250592195,571.2869565217392,4.519230769230769,5.207692307692308,492.1092307692307,1.2846153846153845
4,1970,1,540.6769607343192,1175.3676470588234,36.17297297297298,25.55135135135135,649.0018918918919,4.727027027027027
100,1971,2,361.9425570377758,597.2086956521739,5.107692307692308,6.138461538461538,507.1426923076923,1.6384615384615384
53,1971,0,85.88333333333333,1564.15,508.2166666666667,422.6666666666667,819.3833333333333,79.89999999999999
5,1971,1,539.9120958694544,1333.8514285714286,39.06216216216216,31.3972972972973,731.2494594594594,5.04054054054054
101,1972,2,437.3357748410423,361.6478260869565,5.2153846153846155,3.1384615384615384,337.2192307692308,1.723076923076923
54,1972,0,103.76666666666668,1186.5,510.4500000000001,375.3333333333333,694.94,78.86666666666666
6,1972,1,547.9175012748598,897.9742857142857,39.28378378378378,24.02432432432432,629.2318918918918,5.010810810810811
102,1973,2,360.1647238498941,774.0217391304348,5.107692307692308,4.553846153846154,446.8896153846154,1.6423076923076925
7,1973,1,561.3472310045895,1335.3891891891892,38.01081081081081,27.66756756756757,735.7024324324325,4.281081081081081
55,1973,0,126.2,1482.85,517.2333333333332,423.15,816.2950000000001,74.25
8,1974,1,593.8580418154004,910.3675675675676,37.86486486486486,16.67297297297297,483.3545945945946,4.789189189189189
56,1974,0,199.0,905.4,515.1,298.98333333333335,579.2533333333333,65.8
103,1974,2,428.3185700037402,457.8739130434783,4.9692307692307685,3.838461538461538,489.8692307692308,1.9423076923076923
9,1975,1,567.360744518103,1197.681081081081,38.62162162162162,29.845945945945942,732.6462162162162,4.848648648648648
57,1975,0,164.28333333333333,1478.4166666666667,520.3333333333334,454.6666666666667,862.5633333333334,72.58333333333333
