"Dist Code","Year","State Code","State Name","Dist Name","JANUARY RAINFALL (Millimeters)","FEBRUARY RAINFALL (Millimeters)","MARCH RAINFALL (Millimeters)","APRIL RAINFALL (Millimeters)","MAY RAINFALL (Millimeters)","JUNE RAINFALL (Millimeters)","JULY RAINFALL (Millimeters)","AUGUST RAINFALL (Millimeters)","SEPTEMBER RAINFALL (Millimeters)","OCTOBER RAINFALL (Millimeters)","NOVEMBER RAINFALL (Millimeters)","DECEMBER RAINFALL (Millimeters)","ANNUAL RAINFALL (Millimeters)"
"1","1966","14","Chhattisgarh","Durg","1.4","0.0","0.0","8.9","38.6","169.5","249.5","182.6","112.6","4.8","0.9","1.0","769.8"
"1","1967","14","Chhattisgarh","Durg","0.1","0.0","73.4","0.6","0.0","237.5","342.9","428.8","142.8","3.3","0.0","34.2","1263.5"
"1","1968","14","Chhattisgarh","Durg","27.8","11.3","13.5","17.6","1.4","229.1","410.4","156.4","256.6","39.3","0.0","9.1","1172.3"
"1","1969","14","Chhattisgarh","Durg","0.6","0.0","0.0","15.3","16.5","98.3","375.8","239.1","180.9","2.5","0.0","0.0","929.0"
"1","1970","14","Chhattisgarh","Durg","8.3","7.9","32.9","0.2","2.3","317.2","535.9","410.9","139.0","29.7","0.0","0.0","1484.3"
"1","1971","14","Chhattisgarh","Durg","17.0","12.3","16.7","22.4","15.9","436.0","309.6","366.4","78.3","112.7","0.0","0.0","1387.3"
"1","1972","14","Chhattisgarh","Durg","0.0","0.2","3.9","2.8","1.0","144.9","193.1","371.6","226.6","29.7","72.2","0.9","1046.9"
"1","1973","14","Chhattisgarh","Durg","0.8","1.2","0.2","0.4","0.2","96.7","595.2","335.8","232.5","220.0","0.0","0.0","1483.0"
"1","1974","14","Chhattisgarh","Durg","0.0","0.6","0.0","0.0","0.0","76.6","149.1","253.6","74.0","30.6","0.4","0.0","584.9"
"1","1975","14","Chhattisgarh","Durg","0.0","0.2","3.9","0.0","0.0","190.3","387.5","320.4","188.1","172.0","0.0","0.0","1262.5"
"1","1976","14","Chhattisgarh","Durg","0.0","0.9","0.0","0.2","0.0","100.6","307.4","402.0","126.8","0.0","0.1","0.0","938.0"
"1","1977","14","Chhattisgarh","Durg","0.0","0.4","0.4","2.8","12.9","119.8","289.1","362.3","222.5","23.9","8.3","0.0","1042.6"
"1","1978","14","Chhattisgarh","Durg","0.0","3.2","2.6","0.2","0.0","126.7","320.0","551.4","107.9","12.0","0.0","5.0","1129.1"
"1","1979","14","Chhattisgarh","Durg","7.9","8.3","0.0","0.0","0.0","243.1","245.2","229.2","111.3","9.6","4.2","1.1","859.9"
"1","1980","14","Chhattisgarh","Durg","0.0","0.0","0.0","9.3","0.0","326.4","350.7","200.3","449.7","20.9","0.0","0.0","1357.3"
"1","1981","14","Chhattisgarh","Durg","0.6","0.0","13.0","0.0","1.3","44.0","199.6","463.4","225.8","0.0","0.0","0.0","947.6"
"1","1982","14","Chhattisgarh","Durg","5.6","0.0","5.0","0.0","20.2","132.2","198.3","346.6","80.3","49.1","4.3","0.0","841.6"
"1","1983","14","Chhattisgarh","Durg","0.0","18.6","0.0","3.7","7.2","106.8","198.6","394.1","273.8","70.5","0.0","0.0","1073.2"
