Year,State Name,RICE HARVEST PRICE (Rs per Quintal),ANNUAL RAINFALL (Millimeters),RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha)
1966,Rajasthan,355.5758072559531,382.7217391304348,2.9923076923076923,0.8615384615384615,224.67961538461537,0.7153846153846154
1967,Rajasthan,411.3199351701783,597.4608695652174,3.6692307692307695,3.6576923076923076,368.26,1.0846153846153845
1968,Rajasthan,358.4382558284503,380.1565217391304,4.973076923076923,2.1961538461538463,264.1826923076923,1.526923076923077
1969,Rajasthan,332.43395461912485,463.50869565217397,4.584615384615384,3.8115384615384613,341.7626923076923,1.5653846153846156
1970,Rajasthan,350.9190250592195,571.2869565217392,4.519230769230769,5.207692307692308,492.10923076923075,1.2846153846153845
1971,Rajasthan,361.9425570377758,597.2086956521739,5.107692307692308,6.138461538461538,507.14269230769236,1.6384615384615384
1972,Rajasthan,437.3357748410423,361.6478260869565,5.2153846153846155,3.1384615384615384,337.2192307692308,1.723076923076923
1973,Rajasthan,360.1647238498941,774.0217391304348,5.107692307692308,4.553846153846154,446.8896153846154,1.6423076923076925
1974,Rajasthan,428.3185700037402,457.8739130434783,4.9692307692307685,3.838461538461538,489.8692307692308,1.9423076923076923
1975,Rajasthan,422.3199351701783,769.7260869565217,5.926923076923076,8.55,615.881923076923,2.2192307692307693
1976,Rajasthan,519.0943772596934,700.3652173913043,6.115384615384615,8.192307692307692,889.676153846154,2.2
1977,Rajasthan,440.9579416531605,646.2767710049424,7.050000000000001,9.069230769230769,915.7576923076923,2.1461538461538465
1978,Rajasthan,413.6002493454681,609.6739130434783,8.1,8.976923076923077,751.0769230769231,3.0846153846153848
1979,Rajasthan,464.362242862486,456.52608695652174,7.126923076923077,3.8576923076923078,371.1765384615385,2.965384615384615
1980,Rajasthan,498.9319286871961,413.57727272727277,6.553846153846154,5.769230769230769,516.615,2.8076923076923075
1981,Rajasthan,503.05500561027304,435.68636363636364,5.384615384615385,5.3307692307692305,457.1296153846154,1.6730769230769231
1982,Rajasthan,522.7165440718115,529.4363636363637,4.553846153846154,3.5115384615384615,527.7523076923077,1.3192307692307692
1983,Rajasthan,498.4690250592196,665.0818181818181,6.1923076923076925,8.36153846153846,648.2373076923076,2.1115384615384616
1984,Rajasthan,551.3242363795039,432.51363636363635,6.5346153846153845,8.188461538461539,593.6642307692308,2.0653846153846156
1985,Rajasthan,612.0294476997881,429.95909090909095,5.053846153846154,4.588461538461539,366.3446153846154,1.9615384615384615
1986,Rajasthan,605.5900760503678,454.99545454545455,5.726923076923077,5.061538461538461,480.5646153846154,2.3653846153846154
1987,Rajasthan,648.8371400074805,331.2318181818182,3.6769230769230767,2.95,323.40653846153845,1.7115384615384615
1988,Rajasthan,616.0828387981549,497.79545454545456,4.980769230769231,7.084615384615385,566.5238461538461,1.8884615384615384
1989,Rajasthan,568.5631529734447,410.2681818181818,4.569230769230769,5.811538461538461,473.6215384615385,1.6884615384615385
1990,Rajasthan,665.0900760503678,749.2576923076923,4.622307692307692,5.466923076923076,808.1507692307694,105.61879482955267
1991,Rajasthan,736.9918962722852,455.9269230769231,5.390000000000001,4.59576923076923,536.2396153846154,43.17274870105184
1992,Rajasthan,744.1457424261314,635.3,5.449230769230768,6.7226923076923075,795.5253846153846,43.75774870105184
1993,Rajasthan,711.6371400074804,522.1692307692308,5.413076923076924,4.117307692307692,612.7938461538462,43.69659485489798
1994,Rajasthan,804.7226655030544,697.6038461538462,6.12,6.662307692307692,1107.2053846153847,85.63511278671906
1995,Rajasthan,864.8914412168059,610.9884615384616,5.364230769230769,4.522307692307693,550.5834615384615,64.86489228234699
1996,Rajasthan,900.2375950629598,753.3846153846154,5.658076923076924,6.701538461538462,712.1373076923077,85.71665124825752
1997,Rajasthan,911.8914412168059,643.0038461538461,6.380769230769231,7.318076923076924,711.3026923076923,65.42643074388545
1998,Rajasthan,785.6118314424637,543.5038461538462,6.464230769230769,7.903846153846154,770.266923076923,66.26719997465467
1999,Rajasthan,785.6118314424637,467.65769230769234,7.701153846153847,9.715384615384615,857.3619230769231,46.596979470282605
2000,Rajasthan,785.6118314424637,394.5307692307692,6.395384615384615,5.989230769230769,571.0353846153846,66.64873843619314
2001,Rajasthan,785.6118314424637,545.3076923076923,5.553846153846154,6.92576923076923,749.3784615384616,44.80659485489799
2002,Rajasthan,785.6118314424637,246.8653846153846,3.2146153846153847,2.612692307692307,353.14153846153846,64.4156615131162
2003,Rajasthan,785.6118314424637,585.2038461538461,3.835,6.339230769230769,935.7042307692308,64.46373843619314
2004,Rajasthan,996.0303578107468,505.9525281966798,3.8988461538461534,5.786153846153846,862.836923076923,64.17912305157776
2005,Rajasthan,1035.5751464904627,497.9269230769231,4.134615384615385,5.8876923076923084,836.5423076923076,43.525441008744146
2006,Rajasthan,1034.9299027552674,641.9730769230769,4.146153846153846,6.532692307692307,904.4346153846153,64.26373843619314
